,datetime,open,high,low,close,volume
757,2025-03-14 18:30:00,173.71,174.98,173.68,173.9,29.9181
758,2025-03-14 19:00:00,173.96,176.64,173.84,174.71,164.3383
759,2025-03-14 19:30:00,174.69,174.87,173.15,173.15,41.3478
760,2025-03-14 20:00:00,173.65,174.09,171.96,172.71,507.4289
761,2025-03-14 20:30:00,172.71,173.14,172.04,172.82,28.7689
762,2025-03-14 21:00:00,172.75,173.52,172.48,173.0,30.7601
763,2025-03-14 21:30:00,173.0,173.61,172.64,173.47,25.6032
764,2025-03-14 22:00:00,173.61,174.57,173.4,174.57,31.6734
765,2025-03-14 22:30:00,174.52,175.55,174.23,175.38,25.0
766,2025-03-14 23:00:00,175.45,175.55,173.93,174.68,21.2008
767,2025-03-14 23:30:00,174.7,174.79,173.0,173.12,16.9366
768,2025-03-15 00:00:00,173.13,174.33,173.13,173.97,47.6622
769,2025-03-15 00:30:00,174.01,174.92,173.85,174.57,33.2441
770,2025-03-15 01:00:00,174.69,174.98,173.95,174.02,41.3432
771,2025-03-15 01:30:00,174.04,174.04,172.64,173.35,21.5102
772,2025-03-15 02:00:00,173.31,173.38,172.64,173.14,19.5288
773,2025-03-15 02:30:00,173.21,174.33,172.64,173.94,22.0029
774,2025-03-15 03:00:00,173.82,174.56,173.09,174.56,44.7711
775,2025-03-15 03:30:00,174.55,174.88,174.19,174.81,22.5401
776,2025-03-15 04:00:00,174.89,175.55,174.83,175.55,42.9379
777,2025-03-15 04:30:00,175.53,177.22,175.16,176.68,64.0691
778,2025-03-15 05:00:00,176.6,176.93,175.4,175.4,178.9704
779,2025-03-15 05:30:00,175.41,176.13,174.99,175.25,24.1765
780,2025-03-15 06:00:00,175.25,175.48,174.58,174.87,23.238
781,2025-03-15 06:30:00,174.81,175.03,174.57,174.66,10.4459
782,2025-03-15 07:00:00,174.59,174.69,173.73,173.73,16.1799
783,2025-03-15 07:30:00,173.73,174.11,173.34,173.35,24.9861
784,2025-03-15 08:00:00,173.35,174.51,173.34,174.04,25.7595
785,2025-03-15 08:30:00,174.04,174.73,173.72,174.56,18.0776
786,2025-03-15 09:00:00,174.54,174.57,172.94,173.16,33.2791
787,2025-03-15 09:30:00,173.16,174.33,173.08,174.33,15.0648
788,2025-03-15 10:00:00,174.32,174.33,173.15,173.21,20.1862
789,2025-03-15 10:30:00,173.23,174.15,173.22,173.89,16.9951
790,2025-03-15 11:00:00,173.88,174.56,173.6,174.55,18.8885
791,2025-03-15 11:30:00,174.56,175.15,174.35,174.69,21.1521
792,2025-03-15 12:00:00,174.62,175.14,173.98,174.39,20.0181
793,2025-03-15 12:30:00,174.39,174.67,173.53,173.54,22.1084
794,2025-03-15 13:00:00,173.54,174.31,173.45,173.81,40.6679
795,2025-03-15 13:30:00,173.56,174.21,173.34,173.63,35.0568
796,2025-03-15 14:00:00,173.4,173.5,172.26,172.27,61.2772
797,2025-03-15 14:30:00,172.27,172.67,171.96,171.96,33.8707
798,2025-03-15 15:00:00,171.97,173.25,171.96,172.96,80.3568
799,2025-03-15 15:30:00,172.95,173.52,172.4,173.19,37.8298
800,2025-03-15 16:00:00,173.41,174.63,173.16,174.02,32.7297
801,2025-03-15 16:30:00,174.08,175.27,173.54,174.34,25.8079
802,2025-03-15 17:00:00,174.4,175.55,174.25,175.51,27.9915
803,2025-03-15 17:30:00,175.5,175.55,174.19,174.79,29.2354
804,2025-03-15 18:00:00,174.81,175.55,174.37,174.38,15.2267
805,2025-03-15 18:30:00,174.37,174.59,173.26,173.28,22.354
806,2025-03-15 19:00:00,173.26,173.27,172.59,172.59,23.1472
807,2025-03-15 19:30:00,172.58,172.96,171.96,172.78,19.6862
808,2025-03-15 20:00:00,172.71,174.83,172.71,174.23,32.133
809,2025-03-15 20:30:00,174.2,174.36,173.45,174.02,16.1497
810,2025-03-15 21:00:00,174.07,174.92,173.84,173.95,41.1666
811,2025-03-15 21:30:00,174.12,174.92,174.08,174.78,10.0734
812,2025-03-15 22:00:00,174.83,174.98,173.88,174.0,37.1184
813,2025-03-15 22:30:00,173.97,174.04,173.12,173.26,18.2354
814,2025-03-15 23:00:00,173.28,173.7,173.01,173.08,16.7554
815,2025-03-15 23:30:00,173.0,173.41,172.89,173.03,12.405
